iter	Passed	Remaining
1563	71969	20063
1564	72015	20017
1565	72059	19970
1566	72105	19924
1567	72149	19877
1568	72200	19833
1569	72246	19787
1570	72291	19741
1571	72334	19694
1572	72378	19647
1573	72424	19601
1574	72471	19555
1575	72515	19509
1576	72559	19462
1577	72603	19416
1578	72650	19370
1579	72696	19324
1580	72740	19277
1581	72787	19232
1582	72831	19185
1583	72876	19139
1584	72922	19093
1585	72964	19046
1586	73007	18999
1587	73051	18952
1588	73097	18906
1589	73143	18860
1590	73192	18815
1591	73237	18769
1592	73282	18723
1593	73331	18678
1594	73375	18631
1595	73418	18584
1596	73462	18538
1597	73508	18492
1598	73554	18446
1599	73599	18399
1600	73644	18353
1601	73690	18307
1602	73733	18260
1603	73778	18214
1604	73823	18168
1605	73867	18121
1606	73910	18075
1607	73954	18028
1608	73999	17982
1609	74043	17936
1610	74088	17889
1611	74132	17843
1612	74188	17799
1613	74245	17756
1614	74298	17712
1615	74352	17667
1616	74405	17623
1617	74460	17579
1618	74514	17535
1619	74564	17490
1620	74615	17445
1621	74671	17401
1622	74734	17359
1623	74791	17316
1624	74842	17271
1625	74897	17227
1626	74947	17182
1627	75000	17137
1628	75054	17093
1629	75108	17049
1630	75164	17005
1631	75223	16962
1632	75277	16917
1633	75331	16873
1634	75383	16828
1635	75436	16784
1636	75489	16739
1637	75543	16695
1638	75595	16650
1639	75648	16605
1640	75700	16560
1641	75754	16516
1642	75806	16471
1643	75858	16426
1644	75913	16382
1645	75966	16337
1646	76016	16292
1647	76068	16247
1648	76121	16202
1649	76178	16158
1650	76233	16114
1651	76285	16069
1652	76339	16025
1653	76393	15980
1654	76444	15935
1655	76495	15890
1656	76545	15844
1657	76599	15800
1658	76651	15755
1659	76703	15710
1660	76756	15665
1661	76814	15621
